Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
China,CHN,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,39.8231844636452,41.2687357622717,42.3042594337284,42.0867486888989,41.2426017830387,41.4021726149811,41.8917230168991,42.9412572373492,42.90644691094,44.4479517355594,44.2020234627772,44.323380294491,45.5007483857106,46.9180680432102,48.0900762403245,50.4747987240579
China,CHN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,20.6806626423309,19.973084345391,22.2706236260558,26.5719666736475,30.5531427177652,33.7006538071328,35.6515722472923,34.9329190349654,31.6951547284513,23.7334385896793,26.532547205572,26.7776447745255,25.7052409839421,24.8061022095707,23.9172273380738,22.3740508680408
China,CHN,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,18.6805884764218,18.2816059432087,20.189996859556,25.0398712404239,28.893366120273,29.1957645089346,29.1178856970108,27.3476472225518,25.1068988011745,19.8531748966812,22.8502218619086,24.3632854839726,22.9650429332941,22.3313328329158,21.1711002748501,18.8264106605539
China,CHN,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,34.9209180937758,36.0653448250845,37.6564023735145,40.9791410072596,43.038091975579,41.8819702973386,42.7067586969566,41.3937368339755,43.6699484170093,47.5837179844759,47.3471486147081,47.1665347121137,47.324908099934,47.6780902151492,46.1988414362594,..
China,CHN,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,..,..,..,..,..,9.69872417773828,10.2080525010498,16.8639309691761,11.1637127756536,11.7601754617376,11.3194188058958,11.3273286671686,..,..,..,..
China,CHN,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,Start-up procedures to register a business (number),IC.REG.PROC,..,..,..,..,..,..,..,..,..,..,..,..,..,13,11,11
China,CHN,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,..,..,..,31.0909655891058,23.0576167908289,17.713675576183,41.9613733764931,127.128771749265,39.0218478977319,70.6237601315051,66.6898682159094,45.5407302389473,43.6958248896311,41.611093166394,58.0125865505507,75.3514150646705
China,CHN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.90249644751367,2.09237049855209,2.19833351893561,2.12896932914681,2.0781668356108,2.01573864253136,2.02718473816387,1.93268445813448,1.89564898586747,2.08786859970156,1.91567268485535,1.84141075160905,1.86071293430423,1.87392778797512,1.92880168308846,1.97638519576794
China,CHN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,6.65870796169192,11.2447452430793,15.9037673118535,20.7208224177185,25.5510015440261,29.844705926728,34.7667488692781,41.0168743137341,47.7567162731978,55.2980834070778,63.1702780188133,72.0713209045364,80.7627145493731,88.7083346182169,92.2734908227189,..
China,CHN,Internet users (per 100 people),IT.NET.USER.P2,1.77591320677415,2.63965021485872,4.59570433077551,6.2,7.3,8.52325700269541,10.5231526193851,16,22.6,28.9,34.3,38.3,42.3001174855995,45.8,49.3,..
China,CHN,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,18.984379699295,20.9565152730627,23.6657147800351,27.3792531524193,30.0644587178129,30.8435979901745,30.5144315701197,26.6623727519103,25.5653110416756,27.5340415761998,27.5127042706018,25.8079484045584,26.2740073401972,26.965489517382,25.3720115768468,..
China,CHN,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,39.3522337949994,38.2553458779509,42.4627707145336,51.5772584989082,59.4596428446984,62.6777169564885,64.4900468104344,61.7801229687105,56.2311891680455,43.6321774867401,49.2412111681744,48.6072473191241,45.7018579725975,43.8222436996248,41.5561738566231,36.4139363400274
China,CHN,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,100,97.3973973974,92.0709772272,92.8897902658,90.7276286303,88.4034863409,89.4334298711,88.5070949101,83.7753396169,91.0559311247,82.0143492116,79.0138242405,79.7200053906,81.7620137254,83.9603719021,..
China,CHN,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,145647968000,184058906000,185196264000,206534809000,244379191000,281112901000,320800407000,371721326000,378468990000,445941912000,559772055000,710233988000,750745640000,870848286000,959509815000,..
China,CHN,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,2.23477172748173,1.90369728194278,2.14856164942178,2.28784123088236,1.20090324101923,1.21663045024483,1.00542202092001,0.898228423199482,0.723362406648497,0.786531036140067,1.00420858572577,0.996758707727512,0.881309956798639,0.406154786614129,0.501290817101701,..
China,CHN,Net migration,SM.POP.NETM,..,..,-2144051,..,..,..,..,-2202103,..,..,..,..,-1800000,..,..,..
China,CHN,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,789572998,990000000,1222574707,1597068970,1997994263,1817413689.7668,2329992812.57431,2493058145.24102,2736390791.37784,2051656434,1455455375,1618147148,1788058506,1714202599,4155302052.29,20421778043.33
China,CHN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,42095300000,47053000000,53073618897.4036,57900937467.3864,68117272181.2194,104108693867.085,133272548471.97,156249335203.202,171534650311.569,131057052869.5,243703434558.178,280072219149.935,241213868161.42,290928431467.003,268097181064.335,249858920110.792
China,CHN,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,1.35568588162152,1.21793450485513,1.16899406435489,1.05444737659112,1.3238045637791,1.39163317276716,0.951831398453113,1.12903629679373,1.11690213678278,0.848421795892613,0.482445681222691,-0.452597591006822,-0.142852383402619,-0.494887209182395,-0.703643706890865,..
United States,USA,"Population, total",SP.POP.TOTL,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309346863,311718857,314102623,316427395,318907401,321418820
United States,USA,Population growth (annual %),SP.POP.GROW,1.11276899679534,0.989741382223669,0.927797485710314,0.859481712840946,0.925483968943482,0.921713167161207,0.964253917136075,0.951055242772428,0.945865287282592,0.876651298802912,0.835991599085299,0.763850090826639,0.761807513698898,0.737405823064126,0.780696606482205,0.784422625629869
United States,USA,Surface area (sq. km),AG.SRF.TOTL.K2,9632030,9632030,9632030,9632030,9632030,9632030,9632030,9632030,9831510,9831510,9831510,9831510,9831510,9831510,9831510,9831510
United States,USA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,10178500697503.7,10498594829042.2,10776200783181,11589035965657.3,12790914724399.8,13693955258225.3,14345564947204.5,14651211130474,15002428215985,14740580035992.9,15143137264678.1,15727290871234.6,16495942679105.5,16983003483522.4,17348043274696.5,17663587480903.9
United States,USA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,36070,36840,37470,39950,43680,46340,48080,48640,49330,48050,48950,50450,52520,53670,54400,54960
United States,USA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,10421259000000,10788612000000,11098891000000,11591408000000,12372645000000,13221776000000,14140770000000,14585723000000,14791194000000,14494460000000,15121133000000,15802898000000,16596084200000,17091161800000,17586052500000,18138314000000
United States,USA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,36930,37860,38590,39960,42260,44740,47390,48420,48640,47250,48880,50700,52840,54010,55140,56430
United States,USA,Income share held by lowest 20%,SI.DST.FRST.20,5.37,..,..,..,5.15,..,..,4.67,..,..,5.09,..,..,5.1,..,..
United States,USA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.6365853658537,76.8365853658537,76.9365853658537,77.0365853658537,77.4878048780488,77.4878048780488,77.6878048780488,77.9878048780488,78.0390243902439,78.390243902439,78.5414634146342,78.6414634146341,78.7414634146342,78.8414634146341,78.9414634146341,..
United States,USA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.056,2.0305,2.0205,2.0475,2.0515,2.057,2.108,2.12,2.072,2.002,1.931,1.8945,1.8805,1.8575,1.8615,..
United States,USA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,46.4526,44.8268,43.201,42.4946,41.7882,41.0818,40.3754,39.669,37.7398,35.8106,33.8814,31.9522,30.023,27.0666,24.1102,..
United States,USA,"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,..,..,72.8,..,..,..,..,..,77.1,..,76.4,..,..,..,..,..
United States,USA,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,..,..,99.3,..,..,..,..,..,..,99.2,..,..,..,..,..
United States,USA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,8.4,8.3,8.2,8.1,8.1,8,7.9,7.8,7.7,7.5,7.4,7.2,7.1,6.9,6.7,6.5
United States,USA,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,1.10000002384186,1.29999995231628,..,..,1.10000002384186,..,..,..,0.800000011920929,..,..,0.5,..,..,..
United States,USA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,91,91,91,93,93,92,92,92,92,90,92,92,92,91,91,..
United States,USA,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,93.17204,93.95051,93.28764,95.00524,95.50249,95.67318,95.40375,96.07394,95.97542,95.41825,94.31131,94.67605,94.98032,95.92958,..,..
United States,USA,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.00012,1.0082,1.00371,1.00663,1.01326,1.00999,1.00745,1.00754,1.00381,1.01385,1.00479,1.00869,0.9984,0.99954,..,..
United States,USA,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,Forest area (sq. km),AG.LND.FRST.K2,3035360,3037802,3040244,3042686,3045128,3047570,3055496,3063422,3071348,3079274,3087200,3089950,3092700,3095450,3098200,3100950
United States,USA,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,..,..,27.6012314763414,..,..,..,..,31.4703079113712,..,..,..,..,..,..,33.7721958110368,..
United States,USA,Improved water source (% of population with access),SH.H2O.SAFE.ZS,98.8,98.8,98.9,98.9,98.9,99,99,99,99,99.1,99.1,99.1,99.1,99.2,99.2,99.2
United States,USA,Improved sanitation facilities (% of population with access),SH.STA.ACSN,99.7,99.8,99.8,99.8,99.8,99.8,99.9,99.9,99.9,99.9,99.9,100,100,100,100,100
United States,USA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,8056.86384994775,7827.88632537183,7843.34484914192,7794.23553026383,7881.57864206405,7846.49968849973,7697.65253500041,7758.16570027554,7488.08163789741,7056.77721481122,7161.51708963669,7029.24676449715,6812.48960471113,6915.84473904353,6917.42632840308,..
United States,USA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,20.2076147591466,19.6561932123448,19.6391957710047,19.5762390475548,19.683581350362,19.6102750390681,19.1161388237155,19.2374604467856,18.4892337521751,17.192379097866,17.4848031479796,17.0203678566677,..,..,..,..
United States,USA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,13671.0520240061,13046.6141478464,13296.1822993023,13307.4920085002,13388.5897105591,13704.5770481407,13583.2669593387,13657.4495085431,13663.4246797255,12913.7114285466,13394.0230064657,13240.4758561013,12954.543203544,12988.2559631096,..,..
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,10284779000000,10621824000000,10977514000000,11510670000000,12274928000000,13093726000000,13855888000000,14477635000000,14718582000000,14418739000000,14964372000000,15517926000000,16155255000000,16663160000000,17348071500000,17946996000000
United States,USA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.09217644881066,0.975981833932124,1.78612768745552,2.80677595648093,3.78574284969444,3.34521606334877,2.666625826122,1.77857023965289,-0.291621458693953,-2.77552957416808,2.53192061616315,1.60145467247139,2.22403085385714,1.48952494920856,2.4277956361022,2.42597052645783
United States,USA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2.27551980515122,2.27890088702654,1.53512459242262,1.99405626315642,2.74972115901684,3.21763824985275,3.07226662502413,2.66133639357713,1.96161238330106,0.759434764489896,1.22134939747505,2.0646274665789,1.84205148309647,1.63009401037573,1.64265780365899,1.00211657355533
United States,USA,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,1.18921933765921,1.16484833663771,1.00219956430693,1.16820421786062,1.29452573864299,1.1790268601228,1.05763275383978,1.08691531854925,1.15277100883117,1.05626863991394,1.17409139312771,1.36677827112028,1.24140655634952,1.45181369568297,1.33423927619933,..
United States,USA,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,23.1562428911433,22.1345094435683,21.2707532546996,21.3825486225624,21.6634056092435,21.9334855713162,22.3365425725642,22.1569031562056,21.6489221797441,20.2158540006683,20.3907026263916,20.6296555379867,20.5439093209243,20.6394420665064,20.685298096924,..
United States,USA,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,75.6545377711975,76.700642219794,77.7270471809935,77.449247159577,77.0420686521135,76.887487568561,76.605824673596,76.7561815252451,77.1983068114247,78.7278773594177,78.4352059804806,78.003566190893,78.2146841227262,77.9087442378107,77.9804626268767,..
United States,USA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,10.664643353056,9.66607053553137,9.13238644013572,9.03751910184203,9.62536806733205,9.99639827502118,10.6547916669072,11.4979069440554,12.5143984658305,11.0116564284852,12.3783009403936,13.5737920131853,13.6066084998349,13.5823799327378,13.4996711305922,12.5560010154346
United States,USA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,14.3185381037356,13.137065724305,13.0172733097858,13.4130680490362,14.669552440552,15.5042651724956,16.218830579462,16.4610241935233,17.4270116509865,13.7541708744433,15.8041513536285,17.3113726666824,17.1080190315783,16.6334188713305,16.554738663603,15.5030123147072
United States,USA,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,23.5689254966004,22.0514913446128,21.5765217880843,21.6599667960249,22.5267268370128,23.2229527332403,23.333014816517,22.351352966144,20.7862435389496,17.5129329964292,18.3945975146835,18.5447559164801,19.350606350689,19.5479182820065,19.9207116479777,20.2376486850501
United States,USA,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,20.5084620680717,19.4371136256824,17.3157510889988,16.7004440228067,16.7645952790925,17.8501520499207,18.5731509954468,18.6506635924997,17.7706317089513,15.727616679933,16.4954934293267,16.7293747888732,16.845589871531,19.0243927322309,18.9815623021844,..
United States,USA,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,2.22629964719709,-1.46984166757047,-4.26785150226181,-5.49919340438046,-5.23106938344567,-4.42169019318107,-3.51119318331672,-3.86106570538627,-6.78708049544447,-11.8042638818832,-10.0819132269634,-9.00306522920653,-7.38712573710536,-4.19056769544312,-5.37121952406064,..
United States,USA,Start-up procedures to register a business (number),IC.REG.PROC,..,..,..,..,..,..,..,..,..,..,..,..,..,6,6,6
United States,USA,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,146.89426967755,131.650326723546,100.700668657767,123.939489621369,132.984293920095,129.839775706319,141.23217869544,137.607280609022,78.7458858468839,104.567297736647,115.497340483115,100.791220682455,115.555794136335,144.2394691043,151.778191541348,139.675406402275
United States,USA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.93343201638071,2.94434364568647,3.24955176554546,3.60728784684124,3.78557006607289,3.84423043524815,3.80820052817979,3.84704407867721,4.22004646915036,4.63679244072592,4.66561510232437,4.58397597720211,4.23874460663109,3.83903173227647,3.51574525156874,3.32102375238731
United States,USA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,38.4680910528825,44.6905787439685,48.8510382225371,54.8468140914012,62.5471959845904,68.3176950708401,76.2935384187826,82.0641447853526,85.2091651682425,88.6236461127594,91.311652018589,94.4404259641603,96.0103760924709,97.0777393917782,110.20419345959,..
United States,USA,Internet users (per 100 people),IT.NET.USER.P2,43.0791626375201,49.0808315896951,58.7854038836952,61.6971171244207,64.7582564759896,67.968052915002,68.9311932699721,75,74,71,71.69,69.7294607619268,79.3,84.2,87.36,..
United States,USA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,33.7876105780024,32.5915242027295,31.7594520430432,30.8205213452542,30.2762671292506,29.901988546043,30.0569992880515,27.222664596901,25.9203321683644,21.4876897855956,19.9680138524787,18.1056830408946,17.776885094684,17.818696866679,18.229382922769,19.0079937265466
United States,USA,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,19.8469796968899,17.9656526035453,17.2473749521066,17.6168806854857,19.0677696846776,20.1148855566399,21.2476024632994,21.8861851400453,23.4868352127943,18.4574996468138,21.7027410171306,24.156140356643,24.0307381096739,23.4568521216864,23.2479957440803,21.2451152226757
United States,USA,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,100,102.7991269704,104.358113266,102.9771041517,101.2379857853,97.1663617836,95.9542851903,96.5617369463,91.8123575854,98.9534362733,97.1080409218,94.6125681108,94.6867358812,95.3387481315,95.8862361848,..
United States,USA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,Net migration,SM.POP.NETM,..,..,5149157,..,..,..,..,5070253,..,..,..,..,5007887,..,..,..
United States,USA,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,34397101560,38218898440,40108699220,40010699220,43404699220,47254000000,50756000000,52650000000,55527000000,50723000000,50776000000,50556000000,52652000000,55469000000,56311000000,57565000000
United States,USA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,350066000000,171471000000,109466000000,111346000000,207877000000,138327000000,294288000000,340065000000,332734000000,153788000000,259344000000,257410000000,232001000000,287162000000,131829000000,409874000000
United States,USA,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
India,IND,"Population, total",SP.POP.TOTL,1053481072,1071888190,1090189358,1108369577,1126419321,1144326293,1162088305,1179685631,1197070109,1214182182,1230984504,1247446011,1263589639,1279498874,1295291543,1311050527
India,IND,Population growth (annual %),SP.POP.GROW,1.7721144435853,1.73217695125204,1.69296472529366,1.65386818689212,1.61537731932809,1.57722142926792,1.54025760745955,1.50293390579442,1.46290068776241,1.41937534698082,1.37435100597576,1.32840109681551,1.28583203721824,1.25119062623581,1.22673029572789,1.20929453040919
India,IND,Surface area (sq. km),AG.SRF.TOTL.K2,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260
India,IND,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,37.2,..,..,..,..,29.8,..,21.9,..,..,..,..
India,IND,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,475361297927.471,494030199911.684,509029048057.573,584032659131.285,699419911386.763,830107142978.797,941326222666.107,1108958650641.12,1224360492369.78,1392778614160.02,1555614949710.89,1749362439131.06,1889508379484.42,1944152973533.38,2023047743426.92,2084447585197.26
